feature_configuration,model,true_class,class_r_bin_id,class_r_bin,n,r_min,r_max,r_mean,r_median,recall,recall_ci95_low,recall_ci95_high
F4,Random Forest,GALAXY,1,Q1,2000,12.34173,17.51106,16.717944285,16.929635,0.9665,0.9590,0.9740
F7,LightGBM,GALAXY,1,Q1,2000,12.34173,17.51106,16.717944285,16.929635,0.9955,0.9920,0.9980
F4,Random Forest,GALAXY,2,Q2,2000,17.51116,19.10032,18.16483409,18.036705,0.9420,0.9315,0.9520
F7,LightGBM,GALAXY,2,Q2,2000,17.51116,19.10032,18.16483409,18.036705,0.9925,0.9885,0.9960
F4,Random Forest,GALAXY,3,Q3,2000,19.10163,20.32921,19.810508765,19.891085,0.9240,0.9125,0.9350
F7,LightGBM,GALAXY,3,Q3,2000,19.10163,20.32921,19.810508765,19.891085,0.9900,0.9855,0.9940
F4,Random Forest,GALAXY,4,Q4,2000,20.32922,21.02188,20.65382744,20.64525,0.9360,0.9255,0.9465
F7,LightGBM,GALAXY,4,Q4,2000,20.32922,21.02188,20.65382744,20.64525,0.9915,0.9870,0.9955
F4,Random Forest,GALAXY,5,Q5,2000,21.02218,24.75974,21.698836585,21.63023,0.8285,0.8115,0.8445
F7,LightGBM,GALAXY,5,Q5,2000,21.02218,24.75974,21.698836585,21.63023,0.9610,0.9530,0.9690
F4,Random Forest,STAR,1,Q1,2000,11.11982,17.02411,16.12444619,16.26107,0.9825,0.9765,0.9880
F7,LightGBM,STAR,1,Q1,2000,11.11982,17.02411,16.12444619,16.26107,0.9995,0.9985,1.0000
F4,Random Forest,STAR,2,Q2,2000,17.02445,18.14065,17.59300802,17.5979,0.9715,0.9640,0.9780
F7,LightGBM,STAR,2,Q2,2000,17.02445,18.14065,17.59300802,17.5979,1.0000,1.0000,1.0000
F4,Random Forest,STAR,3,Q3,2000,18.14172,19.29274,18.722114875,18.741045,0.9645,0.9565,0.9720
F7,LightGBM,STAR,3,Q3,2000,18.14172,19.29274,18.722114875,18.741045,1.0000,1.0000,1.0000
F4,Random Forest,STAR,4,Q4,2000,19.29283,20.57019,19.95792949,19.9713,0.8145,0.7975,0.8300
F7,LightGBM,STAR,4,Q4,2000,19.29283,20.57019,19.95792949,19.9713,1.0000,1.0000,1.0000
F4,Random Forest,STAR,5,Q5,2000,20.57095,30.06234,21.401443325,21.196765,0.5545,0.5330,0.5745
F7,LightGBM,STAR,5,Q5,2000,20.57095,30.06234,21.401443325,21.196765,1.0000,1.0000,1.0000
F4,Random Forest,QSO,1,Q1,2000,13.82122,19.64155,18.88999021,19.04266,0.9220,0.9105,0.9335
F7,LightGBM,QSO,1,Q1,2000,13.82122,19.64155,18.88999021,19.04266,0.9720,0.9640,0.9790
F4,Random Forest,QSO,2,Q2,2000,19.64162,20.35295,20.03016794,20.047855,0.8955,0.8820,0.9085
F7,LightGBM,QSO,2,Q2,2000,19.64162,20.35295,20.03016794,20.047855,0.9690,0.9610,0.9765
F4,Random Forest,QSO,3,Q3,2000,20.35316,20.86349,20.61217364,20.618905,0.8970,0.8830,0.9105
F7,LightGBM,QSO,3,Q3,2000,20.35316,20.86349,20.61217364,20.618905,0.9655,0.9575,0.9730
F4,Random Forest,QSO,4,Q4,2000,20.86359,21.36886,21.114997775,21.11195,0.9255,0.9140,0.9365
F7,LightGBM,QSO,4,Q4,2000,20.86359,21.36886,21.114997775,21.11195,0.9900,0.9855,0.9945
F4,Random Forest,QSO,5,Q5,2000,21.36901,26.77257,21.727612725,21.67525,0.8975,0.8840,0.9100
F7,LightGBM,QSO,5,Q5,2000,21.36901,26.77257,21.727612725,21.67525,0.9500,0.9405,0.9595
