feature_configuration,model,r_bin_id,r_bin,n,r_min,r_max,r_mean,r_median,galaxy_n,star_n,qso_n,galaxy_fraction,star_fraction,qso_fraction,accuracy,macro_f1,mcc,auc_macro_ovr,recall_galaxy,recall_star,recall_qso,accuracy_ci95_low,accuracy_ci95_high,macro_f1_ci95_low,macro_f1_ci95_high,mcc_ci95_low,mcc_ci95_high,recall_galaxy_ci95_low,recall_galaxy_ci95_high,recall_star_ci95_low,recall_star_ci95_high,recall_qso_ci95_low,recall_qso_ci95_high
F4,Random Forest,1,Q1,6000,11.11982,17.74692,16.76452853,16.973485,2620,3259,121,0.43666666666666665,0.5431666666666667,0.020166666666666666,0.9675,0.8979192499799488,0.9364913332735438,0.9875481347489058,0.9671755725190839,0.9794415464866524,0.6528925619834711,0.9631666666666666,0.9716666666666667,0.8750497817103727,0.9192724833606325,0.9279692423023836,0.9446706358715856,0.9603053435114504,0.9736641221374046,0.9742252224608776,0.9843510279226757,0.5702479338842975,0.7355371900826446
F4,Random Forest,2,Q2,6000,17.74722,19.37434,18.619856781666666,18.68467,1738,2868,1394,0.2896666666666667,0.478,0.23233333333333334,0.947,0.944815376265951,0.9161964480837265,0.9929603408475293,0.9252013808975834,0.9654811715481172,0.936154949784792,0.9411666666666667,0.9526666666666667,0.9385495456781476,0.9508226713463334,0.9069500486839867,0.925181831347683,0.9119677790563866,0.9372842347525892,0.9588563458856346,0.9721059972105998,0.9232424677187948,0.9490674318507891
F4,Random Forest,3,Q3,6000,19.3744,20.38868,19.946050231666668,19.985055,1834,1551,2615,0.30566666666666664,0.2585,0.43583333333333335,0.8918333333333334,0.8847891690963641,0.8342833557463656,0.9755957665069425,0.9247546346782988,0.8317214700193424,0.904397705544933,0.8838333333333334,0.8990041666666667,0.876415606995532,0.8925211902615585,0.8221169702875034,0.8452759365472619,0.9127589967284624,0.9362050163576882,0.8123791102514507,0.8497743391360413,0.8925334608030593,0.9158699808795411
F4,Random Forest,4,Q4,6000,20.38881,21.10194,20.735052836666664,20.730805,1969,1198,2833,0.32816666666666666,0.19966666666666666,0.4721666666666667,0.855,0.8228119725899204,0.7686424430556932,0.9516203897386827,0.9294057897409853,0.6243739565943238,0.9008118602188493,0.8463333333333334,0.8633333333333333,0.812276627727537,0.833555365937018,0.7547356403145878,0.7820834767227713,0.9177247333671915,0.9405789740985272,0.5943238731218697,0.6519198664440734,0.8891634309918814,0.9117543240381222
F4,Random Forest,5,Q5,6000,21.10218,30.06234,21.674456738333333,21.579445,1839,1124,3037,0.3065,0.18733333333333332,0.5061666666666667,0.8155,0.7656832001845655,0.6964995041387242,0.9243534879367049,0.8292550299075585,0.5231316725978647,0.9153770167928877,0.8061666666666667,0.8245,0.7532624970992521,0.7775128210115191,0.6808940736398659,0.7115307054991642,0.8118542686242524,0.845568243610658,0.4919928825622776,0.5507339857651244,0.9048403029305235,0.9249259137306552
F7,LightGBM,1,Q1,6000,11.11982,17.74692,16.76452853,16.973485,2620,3259,121,0.43666666666666665,0.5431666666666667,0.020166666666666666,0.9933333333333333,0.9451707237695306,0.9870152620872338,0.9970153113632548,0.9961832061068703,0.9996931574102486,0.7603305785123967,0.9913333333333333,0.9951666666666666,0.9269998220071206,0.9622761981448525,0.983118084447617,0.9905985339743895,0.9935114503816794,0.9984732824427481,0.9990794722307457,1.0,0.6859504132231405,0.8347107438016529
F7,LightGBM,2,Q2,6000,17.74722,19.37434,18.619856781666666,18.68467,1738,2868,1394,0.2896666666666667,0.478,0.23233333333333334,0.9941666666666666,0.9925777922713727,0.9907930265996362,0.9994449968140301,0.9907940161104718,1.0,0.9863701578192252,0.9923333333333333,0.9960041666666667,0.9902067285016226,0.9950420482270397,0.9879003204826555,0.9937010370548806,0.9861910241657077,0.9953970080552359,1.0,1.0,0.9799139167862266,0.9921090387374462
F7,LightGBM,3,Q3,6000,19.3744,20.38868,19.946050231666668,19.985055,1834,1551,2615,0.30566666666666664,0.2585,0.43583333333333335,0.9841666666666666,0.9853751519799238,0.9758053711467548,0.9987218314148817,0.9890948745910578,1.0,0.97131931166348,0.981,0.9873333333333333,0.9824540752223816,0.9882903854676686,0.9709571449455656,0.9806174650723302,0.9841875681570338,0.9934569247546347,1.0,1.0,0.9648183556405354,0.9778202676864245
F7,LightGBM,4,Q4,6000,20.38881,21.10194,20.735052836666664,20.730805,1969,1198,2833,0.32816666666666666,0.19966666666666666,0.4721666666666667,0.9845,0.9867077026381766,0.9755383843719223,0.998271160101336,0.98933468765871,1.0,0.9745852453229792,0.9811666666666666,0.9875,0.9838654009552349,0.9892773231012497,0.970338957632489,0.980275474160359,0.9842559674961909,0.9933976637887253,1.0,1.0,0.9685845393575715,0.9802329685845393
F7,LightGBM,5,Q5,6000,21.10218,30.06234,21.674456738333333,21.579445,1839,1124,3037,0.3065,0.18733333333333332,0.5061666666666667,0.9693333333333334,0.9732444059308819,0.9503005949781091,0.996263403069805,0.9608482871125612,1.0,0.9631215014817254,0.9648333333333333,0.9736666666666667,0.9693726478227863,0.9770971237980207,0.9431975501065776,0.9573589438016062,0.9516041326808048,0.9700924415443176,1.0,1.0,0.9562067830095489,0.9700362199539019
