feature_configuration,model,r_bin_id,r_bin,r_bin_total_n,r_bin_invalid_err_r_n,uncertainty_tertile_id,uncertainty_tertile,n,r_min,r_max,r_median,err_r_min,err_r_max,err_r_median,snr_r_median,galaxy_n,star_n,qso_n,accuracy,macro_f1,mcc,auc_macro_ovr,recall_galaxy,recall_star,recall_qso,accuracy_ci95_low,accuracy_ci95_high,macro_f1_ci95_low,macro_f1_ci95_high,mcc_ci95_low,mcc_ci95_high,recall_galaxy_ci95_low,recall_galaxy_ci95_high,recall_star_ci95_low,recall_star_ci95_high,recall_qso_ci95_low,recall_qso_ci95_high
F4,Random Forest,1,Q1,6000,0,1,Low,2000,11.11982,17.16434,16.058464999999998,0.0005699427,0.004588741,0.0039708899999999995,273.42389643335764,604,1373,23,0.971,0.8134351133662666,0.9337971223931159,0.9853149433282349,0.9701986754966887,0.9810633648943918,0.391304347826087,0.9645,0.9775,0.7398263870786859,0.8727678411116288,0.918613523342195,0.9486362193119693,0.9552980132450332,0.9834437086092715,0.9737800436999272,0.98761835396941,0.21739130434782608,0.5652173913043478
F7,LightGBM,1,Q1,6000,0,1,Low,2000,11.11982,17.16434,16.058464999999998,0.0005699427,0.004588741,0.0039708899999999995,273.42389643335764,604,1373,23,0.991,0.8706499845922555,0.9793872576628956,0.9953952854199946,0.9917218543046358,0.9992716678805535,0.4782608695652174,0.9875,0.994,0.7975909357019032,0.9260575232988134,0.9713583507578909,0.9863183679293874,0.9834437086092715,0.9983443708609272,0.9978150036416606,1.0,0.2608695652173913,0.6956521739130435
F4,Random Forest,1,Q1,6000,0,2,Medium,2000,13.84018,17.73435,17.034765,0.004588875,0.005732748,0.005116477,212.20386872627384,537,1415,48,0.9735,0.9413445241970683,0.9387060312277936,0.9968521965780494,0.9776536312849162,0.9773851590106007,0.8125,0.9665,0.9805,0.9124128506933383,0.9642540586179378,0.9229956880357776,0.9547038611748372,0.9646182495344506,0.9888268156424581,0.9696113074204947,0.9851590106007068,0.6875,0.9166666666666666
F7,LightGBM,1,Q1,6000,0,2,Medium,2000,13.84018,17.73435,17.034765,0.004588875,0.005732748,0.005116477,212.20386872627384,537,1415,48,0.996,0.9685407759941921,0.9906265971689133,0.9992302219558279,0.9962756052141527,1.0,0.875,0.993,0.9985,0.9438271604938272,0.9885434516523867,0.9835999009701557,0.996484939738356,0.9906890130353817,1.0,1.0,1.0,0.7708333333333334,0.9583333333333334
F4,Random Forest,1,Q1,6000,0,3,High,2000,14.17929,17.74692,17.491390000000003,0.005733679,0.05102377,0.0066567,163.10428603014162,1479,471,50,0.959,0.8821925372204524,0.8982829217903593,0.9776905319852226,0.9655172413793104,0.9723991507430998,0.64,0.95,0.9675,0.8435318710778813,0.9151079408025935,0.8765977421689557,0.9184806401584552,0.9560513860716701,0.9749830966869506,0.9554140127388535,0.9851910828025475,0.5,0.7604999999999973
F7,LightGBM,1,Q1,6000,0,3,High,2000,14.17929,17.74692,17.491390000000003,0.005733679,0.05102377,0.0066567,163.10428603014162,1479,471,50,0.993,0.9504540833072248,0.9823112201337627,0.9959383884380174,0.9979716024340771,1.0,0.78,0.9895,0.996,0.9202258009759857,0.9741848221004471,0.973421359154736,0.9899192674307722,0.9952670723461798,1.0,1.0,1.0,0.66,0.9
F4,Random Forest,2,Q2,6000,0,1,Low,2000,17.74722,18.71277,18.101045,0.005777257,0.00883723,0.007410118,146.52077133622322,251,1436,313,0.961,0.9393079856132486,0.9131583448367371,0.9936522171775884,0.9243027888446215,0.9714484679665738,0.9424920127795527,0.9524875,0.9695,0.9257498393418945,0.9525811312142105,0.8936635404652058,0.9320139709552558,0.8924302788844621,0.9561752988047809,0.9623955431754875,0.9798050139275766,0.9137380191693291,0.9680511182108626
F7,LightGBM,2,Q2,6000,0,1,Low,2000,17.74722,18.71277,18.101045,0.005777257,0.00883723,0.007410118,146.52077133622322,251,1436,313,0.9965,0.9920232451796719,0.9921196359993878,0.9995684530701062,0.9800796812749004,1.0,0.9936102236421726,0.9935,0.999,0.9855614875708432,0.9976051435535,0.9853794894087415,0.9977489315866543,0.9601593625498008,0.9960159362549801,1.0,1.0,0.9840255591054313,1.0
F4,Random Forest,2,Q2,6000,0,2,Medium,2000,17.75027,19.3312,18.798505,0.008837261,0.0119752,0.01038852,104.51307863793434,373,1000,627,0.953,0.9481777777777779,0.9238544113197604,0.9942295739125177,0.938337801608579,0.964,0.9441786283891547,0.9435,0.9625,0.9374732535946029,0.9586348435498776,0.9086769476808598,0.9391114274422531,0.9115281501340483,0.9597855227882037,0.952,0.975,0.9266347687400319,0.9617224880382775
F7,LightGBM,2,Q2,6000,0,2,Medium,2000,17.75027,19.3312,18.798505,0.008837261,0.0119752,0.01038852,104.51307863793434,373,1000,627,0.9945,0.9922445404044997,0.9910837841594072,0.9997250244278653,0.9812332439678284,1.0,0.9936204146730463,0.991,0.9975,0.9873037295203045,0.9965286871327748,0.9854122344054475,0.9959501429048048,0.9651474530831099,0.9946380697050938,1.0,1.0,0.9872408293460925,0.9984051036682615
