feature_configuration,method,n_bins,bin_id,bin_lower,bin_upper,n,mean_confidence,empirical_accuracy,accuracy_ci95_low,accuracy_ci95_high
F4,Raw,15,1,0.0,0.06666666666666667,0,,,,
F4,Raw,15,2,0.06666666666666667,0.13333333333333333,0,,,,
F4,Raw,15,3,0.13333333333333333,0.2,0,,,,
F4,Raw,15,4,0.2,0.26666666666666666,0,,,,
F4,Raw,15,5,0.26666666666666666,0.3333333333333333,0,,,,
F4,Raw,15,6,0.3333333333333333,0.4,41,0.37908737434652073,0.2926829268292683,0.17609187626113423,0.44479467722997157
F4,Raw,15,7,0.4,0.4666666666666667,169,0.43987786510826454,0.4437869822485207,0.3709575663271781,0.5191151041441433
F4,Raw,15,8,0.4666666666666667,0.5333333333333333,979,0.506898677874163,0.5444330949948928,0.5131235249678044,0.5753953294407091
F4,Raw,15,9,0.5333333333333333,0.6,1274,0.5673143017642135,0.5722135007849294,0.5448685167926631,0.599124306988318
F4,Raw,15,10,0.6,0.6666666666666666,1385,0.6341529828103517,0.6476534296028881,0.6221183264329833,0.6723717302991177
F4,Raw,15,11,0.6666666666666666,0.7333333333333333,1494,0.7008611269921511,0.7342704149933066,0.7112916697108067,0.7560475108665128
F4,Raw,15,12,0.7333333333333333,0.8,1746,0.7675801468283212,0.802405498281787,0.7830731876115732,0.820410056357107
F4,Raw,15,13,0.8,0.8666666666666667,2198,0.8346204670935677,0.8580527752502275,0.8428374699825382,0.8720187217266661
F4,Raw,15,14,0.8666666666666667,0.9333333333333333,3313,0.9026828820994597,0.913975249019016,0.9039412042696643,0.9230503882001414
F4,Raw,15,15,0.9333333333333333,1.0,17401,0.9849855969904325,0.9876443882535486,0.9858920943377467,0.9891814241515111
F4,Sigmoid,15,1,0.0,0.06666666666666667,0,,,,
F4,Sigmoid,15,2,0.06666666666666667,0.13333333333333333,0,,,,
F4,Sigmoid,15,3,0.13333333333333333,0.2,0,,,,
F4,Sigmoid,15,4,0.2,0.26666666666666666,0,,,,
F4,Sigmoid,15,5,0.26666666666666666,0.3333333333333333,0,,,,
F4,Sigmoid,15,6,0.3333333333333333,0.4,38,0.3804656710974173,0.3157894736842105,0.1908460367559618,0.4745575989060954
F4,Sigmoid,15,7,0.4,0.4666666666666667,142,0.43956317701793607,0.4225352112676056,0.3443815308524195,0.5047697312242437
F4,Sigmoid,15,8,0.4666666666666667,0.5333333333333333,897,0.5070928199225959,0.5395763656633222,0.5068587980293063,0.5719564022534908
F4,Sigmoid,15,9,0.5333333333333333,0.6,1219,0.5665921529763985,0.5684987694831829,0.5405227945325274,0.596044377601998
F4,Sigmoid,15,10,0.6,0.6666666666666666,1308,0.6340866182480406,0.6314984709480123,0.6050061948813739,0.6572206143774566
F4,Sigmoid,15,11,0.6666666666666666,0.7333333333333333,1413,0.7006224241946539,0.7211606510969568,0.6972036668578641,0.7439183769029232
F4,Sigmoid,15,12,0.7333333333333333,0.8,1680,0.7680247887659344,0.7869047619047619,0.766680332105603,0.805820122108865
F4,Sigmoid,15,13,0.8,0.8666666666666667,2087,0.835183337924396,0.8466698610445615,0.8305758546658807,0.8614900090061345
F4,Sigmoid,15,14,0.8666666666666667,0.9333333333333333,3142,0.9030623602402892,0.901973265436028,0.8910800241647078,0.9118847892454826
F4,Sigmoid,15,15,0.9333333333333333,1.0,18074,0.9861189342206135,0.9861679760982627,0.9843590126332461,0.9877703226102127
F4,Isotonic,15,1,0.0,0.06666666666666667,0,,,,
F4,Isotonic,15,2,0.06666666666666667,0.13333333333333333,0,,,,
F4,Isotonic,15,3,0.13333333333333333,0.2,0,,,,
F4,Isotonic,15,4,0.2,0.26666666666666666,0,,,,
F4,Isotonic,15,5,0.26666666666666666,0.3333333333333333,0,,,,
F4,Isotonic,15,6,0.3333333333333333,0.4,21,0.37982404654481194,0.38095238095238093,0.20751011368564493,0.5912134622488425
F4,Isotonic,15,7,0.4,0.4666666666666667,127,0.43585416356429113,0.4094488188976378,0.32780882663644967,0.49640591227501935
F4,Isotonic,15,8,0.4666666666666667,0.5333333333333333,789,0.5091863441451705,0.514575411913815,0.47971585029680847,0.5492937325701259
F4,Isotonic,15,9,0.5333333333333333,0.6,1082,0.5713679350235326,0.5720887245841035,0.5424037260023504,0.6012636563146112
F4,Isotonic,15,10,0.6,0.6666666666666666,1195,0.6300177970241205,0.5832635983263599,0.555087414356094,0.6109061776537763
F4,Isotonic,15,11,0.6666666666666666,0.7333333333333333,1382,0.7000589146861131,0.7134587554269175,0.689054647460477,0.7366794769191406
F4,Isotonic,15,12,0.7333333333333333,0.8,1745,0.7669979000732902,0.7747851002865329,0.7545944948412971,0.7937685343876003
F4,Isotonic,15,13,0.8,0.8666666666666667,1903,0.8324446329889128,0.8386757750919601,0.8214697566166694,0.8545172238621354
F4,Isotonic,15,14,0.8666666666666667,0.9333333333333333,3246,0.9010518910070945,0.8897104128157732,0.8784700865776914,0.9000294285703764
F4,Isotonic,15,15,0.9333333333333333,1.0,18510,0.9846086435633874,0.9845488924905457,0.9826688751395785,0.9862278305980445
F7,Raw,15,1,0.0,0.06666666666666667,0,,,,
F7,Raw,15,2,0.06666666666666667,0.13333333333333333,0,,,,
F7,Raw,15,3,0.13333333333333333,0.2,0,,,,
F7,Raw,15,4,0.2,0.26666666666666666,0,,,,
F7,Raw,15,5,0.26666666666666666,0.3333333333333333,0,,,,
F7,Raw,15,6,0.3333333333333333,0.4,0,,,,
F7,Raw,15,7,0.4,0.4666666666666667,0,,,,
F7,Raw,15,8,0.4666666666666667,0.5333333333333333,54,0.5149913654643364,0.5555555555555556,0.42375646526775257,0.6799753582777035
F7,Raw,15,9,0.5333333333333333,0.6,96,0.5671457208899172,0.53125,0.4321560201442166,0.6279392556146787
F7,Raw,15,10,0.6,0.6666666666666666,104,0.6372430484157315,0.7307692307692307,0.6384304486194915,0.8066673878239922
