True class,Bin,r range,F4 Random Forest Recall (95% CI),F7 LightGBM Recall (95% CI)
GALAXY,Q1,12.342–17.511,0.9665 (0.9590–0.9740),0.9955 (0.9920–0.9980)
GALAXY,Q2,17.511–19.100,0.9420 (0.9315–0.9520),0.9925 (0.9885–0.9960)
GALAXY,Q3,19.102–20.329,0.9240 (0.9125–0.9350),0.9900 (0.9855–0.9940)
GALAXY,Q4,20.329–21.022,0.9360 (0.9255–0.9465),0.9915 (0.9870–0.9955)
GALAXY,Q5,21.022–24.760,0.8285 (0.8115–0.8445),0.9610 (0.9530–0.9690)
STAR,Q1,11.120–17.024,0.9825 (0.9765–0.9880),0.9995 (0.9985–1.0000)
STAR,Q2,17.024–18.141,0.9715 (0.9640–0.9780),1.0000 (1.0000–1.0000)
STAR,Q3,18.142–19.293,0.9645 (0.9565–0.9720),1.0000 (1.0000–1.0000)
STAR,Q4,19.293–20.570,0.8145 (0.7975–0.8300),1.0000 (1.0000–1.0000)
STAR,Q5,20.571–30.062,0.5545 (0.5330–0.5745),1.0000 (1.0000–1.0000)
QSO,Q1,13.821–19.642,0.9220 (0.9105–0.9335),0.9720 (0.9640–0.9790)
QSO,Q2,19.642–20.353,0.8955 (0.8820–0.9085),0.9690 (0.9610–0.9765)
QSO,Q3,20.353–20.863,0.8970 (0.8830–0.9105),0.9655 (0.9575–0.9730)
QSO,Q4,20.864–21.369,0.9255 (0.9140–0.9365),0.9900 (0.9855–0.9945)
QSO,Q5,21.369–26.773,0.8975 (0.8840–0.9100),0.9500 (0.9405–0.9595)
