feature_configuration,model,r_bin_id,r_bin,n,r_min,r_max,r_median,galaxy_n,star_n,qso_n,macro_f1,macro_f1_ci95_low,macro_f1_ci95_high,recall_galaxy,recall_star,recall_qso,recall_star_ci95_low,recall_star_ci95_high
F4,Random Forest,1,Q1,6000,11.11982,17.74692,16.973485,2620,3259,121,0.8979192499799488,0.8750497817103727,0.9192724833606324,0.967175572519084,0.9794415464866524,0.6528925619834711,0.9742252224608776,0.9843510279226756
F4,Random Forest,2,Q2,6000,17.74722,19.37434,18.68467,1738,2868,1394,0.944815376265951,0.9385495456781476,0.9508226713463334,0.9252013808975834,0.9654811715481172,0.936154949784792,0.9588563458856346,0.9721059972105998
F4,Random Forest,3,Q3,6000,19.3744,20.38868,19.985055,1834,1551,2615,0.8847891690963641,0.876415606995532,0.8925211902615585,0.9247546346782988,0.8317214700193424,0.904397705544933,0.8123791102514507,0.8497743391360413
F4,Random Forest,4,Q4,6000,20.38881,21.10194,20.730805,1969,1198,2833,0.8228119725899204,0.812276627727537,0.833555365937018,0.9294057897409852,0.6243739565943238,0.9008118602188492,0.5943238731218697,0.6519198664440734
F4,Random Forest,5,Q5,6000,21.10218,30.06234,21.579445,1839,1124,3037,0.7656832001845655,0.7532624970992521,0.7775128210115191,0.8292550299075585,0.5231316725978647,0.9153770167928876,0.4919928825622776,0.5507339857651244
F7,LightGBM,1,Q1,6000,11.11982,17.74692,16.973485,2620,3259,121,0.9451707237695306,0.9269998220071206,0.9622761981448524,0.9961832061068704,0.9996931574102486,0.7603305785123967,0.9990794722307456,1.0
F7,LightGBM,2,Q2,6000,17.74722,19.37434,18.68467,1738,2868,1394,0.9925777922713728,0.9902067285016226,0.9950420482270396,0.9907940161104718,1.0,0.9863701578192252,1.0,1.0
F7,LightGBM,3,Q3,6000,19.3744,20.38868,19.985055,1834,1551,2615,0.9853751519799238,0.9824540752223816,0.9882903854676686,0.9890948745910578,1.0,0.97131931166348,1.0,1.0
F7,LightGBM,4,Q4,6000,20.38881,21.10194,20.730805,1969,1198,2833,0.9867077026381766,0.9838654009552348,0.9892773231012496,0.98933468765871,1.0,0.9745852453229792,1.0,1.0
F7,LightGBM,5,Q5,6000,21.10218,30.06234,21.579445,1839,1124,3037,0.973244405930882,0.9693726478227864,0.9770971237980208,0.9608482871125612,1.0,0.9631215014817254,1.0,1.0
