feature_configuration,model,star_r_bin_id,star_r_bin,star_r_bin_total_n,star_r_bin_invalid_err_r_n,uncertainty_tertile_id,uncertainty_tertile,n,r_min,r_max,r_median,err_r_min,err_r_max,err_r_median,snr_r_median,star_recall,star_recall_ci95_low,star_recall_ci95_high
F4,Random Forest,1,Q1,2000,0,1,Low,667,11.11982,16.72285,15.73054,0.0005699427,0.004014666,0.003682153,294.86450040455395,0.9820089955022488,0.9715142428785608,0.992503748125937
F7,LightGBM,1,Q1,2000,0,1,Low,667,11.11982,16.72285,15.73054,0.0005699427,0.004014666,0.003682153,294.86450040455395,0.9985007496251874,0.9955022488755624,1.0
F4,Random Forest,1,Q1,2000,0,2,Medium,667,14.13414,17.02411,16.35903,0.00401545,0.004571288,0.004298742,252.57068341345663,0.9805097451274364,0.970014992503748,0.9910044977511244
F7,LightGBM,1,Q1,2000,0,2,Medium,667,14.13414,17.02411,16.35903,0.00401545,0.004571288,0.004298742,252.57068341345663,1.0,1.0,1.0
F4,Random Forest,1,Q1,2000,0,3,High,666,13.84018,17.02409,16.68694,0.004571388,0.04508984,0.004895334,221.7900157105365,0.984984984984985,0.9744744744744744,0.993993993993994
F7,LightGBM,1,Q1,2000,0,3,High,666,13.84018,17.02409,16.68694,0.004571388,0.04508984,0.004895334,221.7900157105365,1.0,1.0,1.0
F4,Random Forest,2,Q2,2000,0,1,Low,667,17.02445,17.65533,17.25701,0.004394526,0.005579793,0.005175209,209.7956246323829,0.967016491754123,0.952023988005997,0.9790104947526236
F7,LightGBM,2,Q2,2000,0,1,Low,667,17.02445,17.65533,17.25701,0.004394526,0.005579793,0.005175209,209.7956246323829,1.0,1.0,1.0
F4,Random Forest,2,Q2,2000,0,2,Medium,667,17.02506,17.97873,17.61791,0.005583067,0.006288143,0.005939512,182.7988906762255,0.9775112443778112,0.9655172413793104,0.9880059970014992
F7,LightGBM,2,Q2,2000,0,2,Medium,667,17.02506,17.97873,17.61791,0.005583067,0.006288143,0.005939512,182.7988906762255,1.0,1.0,1.0
F4,Random Forest,2,Q2,2000,0,3,High,666,17.21875,18.14065,17.939835000000002,0.00628909,0.1278689,0.0067084975,161.84491489356284,0.96996996996997,0.9564564564564564,0.981981981981982
F7,LightGBM,2,Q2,2000,0,3,High,666,17.21875,18.14065,17.939835000000002,0.00628909,0.1278689,0.0067084975,161.84491489356284,1.0,1.0,1.0
F4,Random Forest,3,Q3,2000,0,1,Low,667,18.14172,18.6805,18.33077,0.006848433,0.008758825,0.007922332,137.0475517509402,0.9715142428785608,0.9580209895052474,0.9835082458770614
F7,LightGBM,3,Q3,2000,0,1,Low,667,18.14172,18.6805,18.33077,0.006848433,0.008758825,0.007922332,137.0475517509402,1.0,1.0,1.0
F4,Random Forest,3,Q3,2000,0,2,Medium,667,18.3095,19.08461,18.74603,0.00876114,0.0106895,0.00969909,111.94206928259554,0.9640179910044976,0.9490254872563718,0.9775112443778112
F7,LightGBM,3,Q3,2000,0,2,Medium,667,18.3095,19.08461,18.74603,0.00876114,0.0106895,0.00969909,111.94206928259554,1.0,1.0,1.0
F4,Random Forest,3,Q3,2000,0,3,High,666,18.18958,19.29274,19.09115,0.01069398,0.1054836,0.011840625,91.69590766263386,0.957957957957958,0.9414414414414416,0.972972972972973
F7,LightGBM,3,Q3,2000,0,3,High,666,18.18958,19.29274,19.09115,0.01069398,0.1054836,0.011840625,91.69590766263386,1.0,1.0,1.0
F4,Random Forest,4,Q4,2000,0,1,Low,667,19.29283,19.95531,19.53206,0.01210552,0.01829533,0.01543682,70.33418830809258,0.9160419790104948,0.8950524737631185,0.9370314842578712
F7,LightGBM,4,Q4,2000,0,1,Low,667,19.29283,19.95531,19.53206,0.01210552,0.01829533,0.01543682,70.33418830809258,1.0,1.0,1.0
F4,Random Forest,4,Q4,2000,0,2,Medium,667,19.39248,20.51336,20.01488,0.01829591,0.02562365,0.02131413,50.93973832186112,0.8515742128935532,0.8245877061469266,0.8785607196401799
F7,LightGBM,4,Q4,2000,0,2,Medium,667,19.39248,20.51336,20.01488,0.01829591,0.02562365,0.02131413,50.93973832186112,1.0,1.0,1.0
F4,Random Forest,4,Q4,2000,0,3,High,666,19.31773,20.57019,20.37275,0.02562933,0.6551157,0.03070051,35.365412829710344,0.6756756756756757,0.6396396396396397,0.7117117117117117
F7,LightGBM,4,Q4,2000,0,3,High,666,19.31773,20.57019,20.37275,0.02562933,0.6551157,0.03070051,35.365412829710344,1.0,1.0,1.0
F4,Random Forest,5,Q5,2000,0,1,Low,667,20.57095,21.32673,20.78226,0.02678164,0.0475154,0.03910462,27.76490871815477,0.6431784107946027,0.6086956521739131,0.6776986506746624
F7,LightGBM,5,Q5,2000,0,1,Low,667,20.57095,21.32673,20.78226,0.02678164,0.0475154,0.03910462,27.76490871815477,1.0,1.0,1.0
F4,Random Forest,5,Q5,2000,0,2,Medium,667,20.57394,21.89734,21.22323,0.04752131,0.0771578,0.0589981,18.4029011910236,0.4107946026986507,0.3718140929535232,0.4497751124437781
F7,LightGBM,5,Q5,2000,0,2,Medium,667,20.57394,21.89734,21.22323,0.04752131,0.0771578,0.0589981,18.4029011910236,1.0,1.0,1.0
F4,Random Forest,5,Q5,2000,0,3,High,666,20.57269,30.06234,21.97429,0.07718468,4.553548,0.1202633999999999,9.027995457655916,0.6096096096096096,0.5750375375375375,0.6456456456456456
F7,LightGBM,5,Q5,2000,0,3,High,666,20.57269,30.06234,21.97429,0.07718468,4.553548,0.1202633999999999,9.027995457655916,1.0,1.0,1.0
