feature_configuration,model,r_bin,r_min,r_max,galaxy_n,star_n,qso_n,macro_f1,macro_f1_ci95_low,macro_f1_ci95_high,recall_galaxy,recall_galaxy_ci95_low,recall_galaxy_ci95_high,recall_star,recall_star_ci95_low,recall_star_ci95_high,recall_qso,recall_qso_ci95_low,recall_qso_ci95_high
F4,Random Forest,Q1,11.120,17.747,2620,3259,121,0.9001,0.8772,0.9211,0.9691,0.9622,0.9756,0.9782,0.9730,0.9831,0.6612,0.5785,0.7438
F4,Random Forest,Q2,17.747,19.374,1738,2868,1394,0.9454,0.9392,0.9513,0.9264,0.9137,0.9384,0.9651,0.9582,0.9718,0.9383,0.9254,0.9512
F4,Random Forest,Q3,19.374,20.389,1834,1551,2615,0.8851,0.8768,0.8929,0.9253,0.9133,0.9368,0.8311,0.8117,0.8498,0.9048,0.8929,0.9159
F4,Random Forest,Q4,20.389,21.102,1969,1198,2833,0.8225,0.8115,0.8333,0.9279,0.9162,0.9391,0.6269,0.5977,0.6544,0.9001,0.8892,0.9114
F4,Random Forest,Q5,21.102,30.062,1839,1124,3037,0.7610,0.7486,0.7726,0.8271,0.8102,0.8439,0.5151,0.4858,0.5436,0.9124,0.9019,0.9220
F7,LightGBM,Q1,11.120,17.747,2620,3259,121,0.9452,0.9270,0.9623,0.9962,0.9935,0.9985,0.9997,0.9991,1.0000,0.7603,0.6860,0.8347
F7,LightGBM,Q2,17.747,19.374,1738,2868,1394,0.9926,0.9902,0.9950,0.9908,0.9862,0.9954,1.0000,1.0000,1.0000,0.9864,0.9799,0.9921
F7,LightGBM,Q3,19.374,20.389,1834,1551,2615,0.9854,0.9825,0.9883,0.9891,0.9842,0.9935,1.0000,1.0000,1.0000,0.9713,0.9648,0.9778
F7,LightGBM,Q4,20.389,21.102,1969,1198,2833,0.9867,0.9839,0.9893,0.9893,0.9843,0.9934,1.0000,1.0000,1.0000,0.9746,0.9686,0.9802
F7,LightGBM,Q5,21.102,30.062,1839,1124,3037,0.9732,0.9694,0.9771,0.9608,0.9516,0.9701,1.0000,1.0000,1.0000,0.9631,0.9562,0.9700
